20.229: [GC [PSYoungGen: 41184K->32K(39680K)] 42938K->1786K(81984K), 0.0004860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.318: [GC [PSYoungGen: 39648K->32K(38272K)] 41402K->1786K(80576K), 0.0004790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.403: [GC [PSYoungGen: 38240K->64K(36992K)] 39994K->1818K(79296K), 0.0004760 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.486: [GC [PSYoungGen: 36928K->96K(35712K)] 38682K->1850K(78016K), 0.0004470 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.565: [GC [PSYoungGen: 35680K->32K(34432K)] 37434K->1786K(76736K), 0.0004820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.643: [GC [PSYoungGen: 34400K->32K(33280K)] 36154K->1786K(75584K), 0.0004550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.717: [GC [PSYoungGen: 33248K->32K(32256K)] 35002K->1786K(74560K), 0.0004340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.789: [GC [PSYoungGen: 32160K->96K(31232K)] 33914K->1850K(73536K), 0.0004420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.859: [GC [PSYoungGen: 31200K->64K(30144K)] 32954K->1818K(72448K), 0.0005030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.927: [GC [PSYoungGen: 30144K->64K(29184K)] 31898K->1818K(71488K), 0.0005700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.992: [GC [PSYoungGen: 29184K->64K(28352K)] 30938K->1818K(70656K), 0.0004440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.056: [GC [PSYoungGen: 28288K->64K(27392K)] 30042K->1818K(69696K), 0.0004590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.117: [GC [PSYoungGen: 27392K->64K(26624K)] 29146K->1818K(68928K), 0.0005410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.177: [GC [PSYoungGen: 26560K->32K(25792K)] 28314K->1786K(68096K), 0.0004470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.235: [GC [PSYoungGen: 25760K->64K(25088K)] 27514K->1818K(67392K), 0.0004030 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.291: [GC [PSYoungGen: 25024K->32K(24320K)] 26778K->1786K(66624K), 0.0004550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
