31.131: [GC [PSYoungGen: 18272K->32K(17856K)] 20009K->1769K(60160K), 0.0003790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.226: [GC [PSYoungGen: 17824K->32K(17408K)] 19561K->1769K(59712K), 0.0002910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.317: [GC [PSYoungGen: 17376K->32K(16960K)] 19113K->1769K(59264K), 0.0003860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.407: [GC [PSYoungGen: 16928K->32K(16576K)] 18665K->1769K(58880K), 0.0004270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.495: [GC [PSYoungGen: 16544K->32K(16192K)] 18281K->1769K(58496K), 0.0004450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.580: [GC [PSYoungGen: 16160K->32K(15808K)] 17897K->1769K(58112K), 0.0004040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.663: [GC [PSYoungGen: 15776K->32K(15424K)] 17513K->1769K(57728K), 0.0004120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.745: [GC [PSYoungGen: 15392K->32K(15104K)] 17129K->1769K(57408K), 0.0003770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.824: [GC [PSYoungGen: 15072K->32K(14784K)] 16809K->1769K(57088K), 0.0003690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.902: [GC [PSYoungGen: 14752K->32K(14464K)] 16489K->1769K(56768K), 0.0004150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.979: [GC [PSYoungGen: 14432K->32K(14144K)] 16169K->1769K(56448K), 0.0004250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.053: [GC [PSYoungGen: 14112K->32K(13824K)] 15849K->1769K(56128K), 0.0003800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.127: [GC [PSYoungGen: 13792K->32K(13568K)] 15529K->1769K(55872K), 0.0005720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.198: [GC [PSYoungGen: 13536K->32K(13312K)] 15273K->1769K(55616K), 0.0003730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.268: [GC [PSYoungGen: 13280K->32K(13056K)] 15017K->1769K(55360K), 0.0004140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.337: [GC [PSYoungGen: 13024K->32K(12800K)] 14761K->1769K(55104K), 0.0004450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
